ppm	mollisols	cambisol	acrisol
233.924	-0.000194256	-0.000101253	-4.02145E-05
226.644	-0.000193512	-7.40738E-06	-0.000111836
226.886	-0.000191139	2.2633E-05	-0.000106162
227.129	-0.000188767	3.04983E-05	-9.85825E-05
233.681	-0.000187269	-0.000106364	-4.86232E-05
226.401	-0.000181615	-3.74478E-05	-0.000115483
233.439	-0.000180282	-9.81699E-05	-5.72134E-05
227.372	-0.000179745	3.83635E-05	-8.92396E-05
234.167	-0.000176861	-9.61423E-05	-3.22206E-05
227.614	-0.000170723	1.10258E-05	-7.83687E-05
226.158	-0.000169718	-5.39059E-05	-0.000116953
227.857	-0.000162809	-1.63121E-05	-6.6366E-05
234.409	-0.000159466	-8.74284E-05	-2.47345E-05
233.196	-0.000155501	-8.99749E-05	-6.55715E-05
228.1	-0.000154895	-6.5825E-05	-5.38195E-05
228.343	-0.000146981	-0.000115338	-4.14823E-05
225.916	-0.000144522	-7.0364E-05	-0.000116074
244.116	-0.000141075	8.30086E-05	-1.42887E-05
228.585	-0.000139067	-0.000151268	-3.0193E-05
243.874	-0.000137577	4.91046E-05	-9.39804E-06
244.359	-0.000134876	0.000116912	-1.99613E-05
243.631	-0.000134079	1.6186E-06	-5.96722E-06
234.652	-0.00013362	-7.87145E-05	-1.77867E-05
241.204	-0.000132625	-0.000127032	1.84054E-06
240.962	-0.000132599	-0.000141533	8.32935E-06
240.719	-0.000132573	-0.000157107	1.50727E-05
232.953	-0.00013072	-8.30797E-05	-7.31201E-05
247.514	-0.000129993	-4.50185E-05	-2.74882E-05
244.602	-0.000128676	0.00011977	-2.54758E-05
228.828	-0.000127412	-0.000187199	-2.07618E-05
247.271	-0.00012452	-4.04622E-05	-1.71819E-05
243.388	-0.000119498	-4.58674E-05	-4.30938E-06
225.673	-0.000119325	-5.57769E-05	-0.0001127
247.029	-0.000119048	-3.59059E-05	-1.00643E-05
241.447	-0.000117593	-0.000112531	-3.68044E-06
240.476	-0.000117031	-0.000172682	2.12911E-05
244.844	-0.000115827	0.000122629	-2.98039E-05
229.071	-0.000115758	-0.000192085	-1.38559E-05
247.757	-0.000115515	-4.95748E-05	-3.96377E-05
234.895	-0.000107775	-7.00002E-05	-1.14263E-05
232.711	-0.000105939	-7.61853E-05	-7.91907E-05
243.146	-0.000104917	-8.0048E-05	-4.34931E-06
229.313	-0.000104104	-0.00019697	-9.91419E-06
