Spad	group	time
1.53	Mollisol	35d
1.9	Mollisol	35d
0.9	Mollisol	35d
4.43	Mollisol	35d
0.4	Mollisol	35d
0.77	Mollisol	35d
-0.23	Mollisol	35d
3.3	Mollisol	35d
-1.9	Mollisol	35d
-1.53	Mollisol	35d
-2.53	Mollisol	35d
1	Mollisol	35d
-1.57	Mollisol	35d
-1.2	Mollisol	35d
-2.2	Mollisol	35d
1.33	Mollisol	35d
7.97	Inceptisol	35d
5.8	Inceptisol	35d
5.9	Inceptisol	35d
8.63	Inceptisol	35d
9.37	Inceptisol	35d
7.2	Inceptisol	35d
7.3	Inceptisol	35d
10.03	Inceptisol	35d
2.97	Inceptisol	35d
0.8	Inceptisol	35d
0.9	Inceptisol	35d
3.63	Inceptisol	35d
8.97	Inceptisol	35d
6.8	Inceptisol	35d
6.9	Inceptisol	35d
9.63	Inceptisol	35d
11.77	Ultisol	35d
8.57	Ultisol	35d
8.7	Ultisol	35d
10.17	Ultisol	35d
6.5	Ultisol	35d
3.3	Ultisol	35d
3.43	Ultisol	35d
4.9	Ultisol	35d
6.17	Ultisol	35d
2.97	Ultisol	35d
3.1	Ultisol	35d
4.57	Ultisol	35d
7.37	Ultisol	35d
4.17	Ultisol	35d
4.3	Ultisol	35d
5.77	Ultisol	35d
-0.37	Mollisol	42d
2.7	Mollisol	42d
1.73	Mollisol	42d
3.07	Mollisol	42d
1.07	Mollisol	42d
4.13	Mollisol	42d
3.17	Mollisol	42d
4.5	Mollisol	42d
-3.53	Mollisol	42d
-0.47	Mollisol	42d
-1.43	Mollisol	42d
-0.1	Mollisol	42d
-2.27	Mollisol	42d
0.8	Mollisol	42d
-0.17	Mollisol	42d
1.17	Mollisol	42d
6.93	Inceptisol	42d
7.97	Inceptisol	42d
1.23	Inceptisol	42d
5.3	Inceptisol	42d
10.77	Inceptisol	42d
11.8	Inceptisol	42d
5.07	Inceptisol	42d
9.13	Inceptisol	42d
1.3	Inceptisol	42d
2.33	Inceptisol	42d
-4.4	Inceptisol	42d
-0.33	Inceptisol	42d
3.77	Inceptisol	42d
4.8	Inceptisol	42d
-1.93	Inceptisol	42d
2.13	Inceptisol	42d
12.17	Ultisol	42d
10.23	Ultisol	42d
10.17	Ultisol	42d
11.37	Ultisol	42d
7.97	Ultisol	42d
6.03	Ultisol	42d
5.97	Ultisol	42d
7.17	Ultisol	42d
7.5	Ultisol	42d
5.57	Ultisol	42d
5.5	Ultisol	42d
6.7	Ultisol	42d
8.07	Ultisol	42d
6.13	Ultisol	42d
6.07	Ultisol	42d
7.27	Ultisol	42d
0.37	Mollisol	56d
3.9	Mollisol	56d
5.63	Mollisol	56d
5.5	Mollisol	56d
-0.93	Mollisol	56d
2.6	Mollisol	56d
4.33	Mollisol	56d
4.2	Mollisol	56d
-7.3	Mollisol	56d
-3.77	Mollisol	56d
-2.03	Mollisol	56d
-2.17	Mollisol	56d
-4.1	Mollisol	56d
-0.57	Mollisol	56d
1.17	Mollisol	56d
1.03	Mollisol	56d
-0.33	Inceptisol	56d
2.3	Inceptisol	56d
-3.1	Inceptisol	56d
-0.5	Inceptisol	56d
7.23	Inceptisol	56d
9.87	Inceptisol	56d
4.47	Inceptisol	56d
7.07	Inceptisol	56d
-1	Inceptisol	56d
1.63	Inceptisol	56d
-3.77	Inceptisol	56d
-1.17	Inceptisol	56d
-1.47	Inceptisol	56d
1.17	Inceptisol	56d
-4.23	Inceptisol	56d
-1.63	Inceptisol	56d
8.6	Ultisol	56d
10.4	Ultisol	56d
11.83	Ultisol	56d
6.07	Ultisol	56d
5.8	Ultisol	56d
7.6	Ultisol	56d
9.03	Ultisol	56d
3.27	Ultisol	56d
2.6	Ultisol	56d
4.4	Ultisol	56d
5.83	Ultisol	56d
0.07	Ultisol	56d
3.07	Ultisol	56d
4.87	Ultisol	56d
6.3	Ultisol	56d
0.53	Ultisol	56d
