	Conexibacteraceae	Micrococcaceae	Rhizobiaceae	Xanthomonadaceae	Burkholderiales	group
1	20848155	65833812	92490538	9302289	34969069	mollisols
2	33075177	86454303	118296078	12573364	54895308	mollisols
3	14955119	61066623	78855675	5762832	27794480	mollisols
4	41736843	122657426	174339485	34568165	72624960	mollisols
5	11876018	50702329	65328069	5928035	29597188	mollisols
6	9421544	27574519	41547961	6787147	13628650	mollisols
7	5200046	20025977	33952422	4112333	13859796	cambisol
8	3488806	13948647	19462464	1670478	7259769	cambisol
9	2971748	10476020	16309749	1645490	8219703	cambisol
10	4576934	19949323	30556628	3616172	13087745	cambisol
11	14280751	62982334	104706251	8471373	44374917	cambisol
12	16027766	60737932	99147698	10864200	29793899	cambisol
13	45194811	222086691	259214654	4583039	61646095	acrisol
14	11505923	48551883	55776031	989117	12756835	acrisol
15	16348611	147621244	217869709	14227303	43970540	acrisol
16	11930011	87584601	112819010	1668546	39944653	acrisol
17	20015254	105531185	137052542	3836949	49481356	acrisol
18	11041175	72135778	88815437	918582	26183519	acrisol
