colname	1	2	3	4	5	6	7	8	9	10	11	12	group
A	-0.133	1.718	1.778	0.093	-0.002	1.613	1.749	0.238	0.136	1.667	1.678	-0.026	SynCom1
B	1.807	1.819	1.857	1.885	1.829	1.918	1.938	1.892	1.821	1.908	1.942	1.693	SynCom1
C	1.675	1.933	-0.591	1.312	1.612	1.818	-0.592	1.283	1.74	1.988	-0.603	0.514	SynCom1
D	1.694	1.526	0.849	1.651	1.398	1.724	0.961	1.664	1.516	1.202	0.889	1.483	SynCom1
E	0.189	1.953	1.887	1.266	0.557	2.021	2.02	1.389	0.699	1.984	1.887	0.478	SynCom1
F	0.337	1.806	-0.133	1.734	0.458	1.879	-0.068	1.811	0.484	1.905	-0.185	1.446	SynCom1
G	1.768	1.81	0.593	0.576	1.786	1.7	0.381	0.571	1.621	1.754	0.35	0.191	SynCom1
H	0.37	1.005	1.716	1.856	0.333	0.935	1.562	1.807	0.247	1.027	1.565	1.768	SynCom1
A	-0.063	1.716	1.786	0.519	0.041	1.637	1.747	0.433	0.022	1.682	1.662	0.312	SynCom2
B	1.782	1.807	1.847	1.827	1.73	1.933	1.886	1.796	1.657	1.786	1.854	1.619	SynCom2
C	1.647	1.851	-0.382	0.919	1.767	1.734	-0.611	1.365	1.687	1.88	-0.432	0.699	SynCom2
D	1.558	1.509	0.901	1.679	1.401	1.867	1.018	1.713	1.459	1.414	0.971	1.255	SynCom2
E	0.068	1.97	1.821	1.361	0.662	2.037	1.971	1.375	0.532	1.975	1.87	0.385	SynCom2
F	0.512	1.738	-0.12	1.711	0.629	2.022	0.932	1.775	0.628	1.803	0.801	1.316	SynCom2
G	1.756	1.733	0.929	0.593	1.863	1.771	0.75	0.645	1.721	1.804	0.622	0.311	SynCom2
H	0.698	0.937	1.1	1.836	0.461	0.789	1.101	1.794	0.381	0.866	0.728	1.619	SynCom2
A	-0.275	1.374	1.304	0.481	0.456	1.238	1.3	0.682	-0.181	1.266	1.181	0.335	SynCom3
B	0.777	1.339	1.346	1.425	1.396	1.487	1.473	1.44	1.171	1.404	1.365	1.116	SynCom3
C	1.326	1.281	-0.558	0.598	1.323	1.132	-1.052	0.71	1.247	1.425	-0.687	0.252	SynCom3
D	1.045	1.035	0.559	1.222	1.017	1.241	0.747	1.234	1.11	0.827	0.577	1.033	SynCom3
E	-0.065	1.49	1.196	1.048	0.763	1.516	1.447	1.031	0.447	1.5	1.386	0.624	SynCom3
F	0.818	1.296	-0.21	1.307	0.961	1.414	-0.641	1.267	0.482	1.291	-0.625	0.815	SynCom3
G	1.385	1.31	0.129	0.728	1.437	1.215	-0.047	0.466	1.328	1.28	-0.076	0.204	SynCom3
H	0.666	0.53	1.135	1.407	0.611	0.872	1.225	1.294	-0.025	0.866	0.576	1.286	SynCom3
A	-0.235	1.292	1.428	0.78	-0.03	1.28	1.419	0.618	0.265	1.313	1.316	-0.052	SynCom4
B	1.168	1.46	1.536	1.474	1.327	1.54	1.521	1.467	1.359	1.446	1.501	1.308	SynCom4
C	1.338	1.416	-0.361	0.859	1.352	1.296	-0.313	1.143	1.411	1.595	-0.609	0.392	SynCom4
D	1.348	1.282	0.854	1.286	1.097	1.474	0.905	1.292	1.17	1.008	0.88	1.218	SynCom4
E	-0.019	1.611	1.529	0.933	0.618	1.663	1.559	1.361	0.713	1.562	1.407	0.629	SynCom4
F	0.084	1.372	0.718	1.306	0.665	1.587	0.895	1.471	0.856	1.575	0.725	1.219	SynCom4
G	1.274	1.476	0.735	0.589	1.493	1.362	0.486	0.658	1.426	1.392	0.487	0.16	SynCom4
H	0.047	0.774	1.303	1.424	0.134	1.13	1.274	1.381	0.34	1.088	0.414	1.31	SynCom4
A	-0.08	1.382	1.581	1.03	-0.009	1.364	1.473	0.998	0.088	1.371	1.375	0.839	PGPRs1
B	0.991	0.953	1.539	1.543	1.208	1.095	1.659	1.57	1.244	1.139	1.511	1.448	PGPRs1
C	1.566	0.214	-0.416	0.627	1.352	0.471	-0.123	0.748	1.35	0.843	-0.135	0.338	PGPRs1
D	0.949	1.779	0.86	1.508	0.821	1.814	0.891	1.517	0.829	1.735	0.857	1.102	PGPRs1
E	-0.084	1.676	1.358	0.437	0.121	1.822	1.554	0.621	0.26	1.774	1.257	0.129	PGPRs1
F	0.133	0.385	1.474	0.968	0.211	0.738	1.547	1.105	0.266	0.883	1.605	0.61	PGPRs1
G	1.616	0.828	0.126	0.22	1.74	1.107	0.113	0.302	1.719	1.18	-0.034	0.03	PGPRs1
H	0.043	0.305	0.592	0.83	-0.139	0.196	0.804	0.742	-0.113	0.26	0.552	0.465	PGPRs1
A	-0.143	1.329	1.347	1.076	0.079	1.427	1.477	1.101	0.064	1.488	1.461	0.993	PGPRs2
B	0.942	0.914	1.48	1.606	1.268	1.186	1.817	1.647	1.232	1.185	1.518	1.432	PGPRs2
C	1.561	0.216	-0.211	0.368	1.315	0.256	-0.127	0.49	1.388	0.545	-0.104	0.477	PGPRs2
D	1.029	1.704	0.877	1.61	0.846	1.87	0.947	1.601	0.935	1.813	0.913	1.064	PGPRs2
E	-0.132	1.76	1.378	0.238	0.036	1.767	1.533	0.397	0.168	1.743	1.257	0.171	PGPRs2
F	0.124	0.264	1.344	0.904	0.187	0.563	1.534	1.118	0.23	0.785	1.535	0.549	PGPRs2
G	1.354	0.881	0.142	0.232	1.706	0.893	0.207	0.258	1.652	1.178	0.012	0.18	PGPRs2
H	-0.074	0.223	0.746	1.127	-0.041	0.211	0.647	1.008	-0.052	0.397	1.017	0.393	PGPRs2
A	-0.111	1.376	1.279	1.032	0.019	1.463	1.298	1.057	0.092	1.465	1.363	1.041	PGPRs3
B	0.894	0.961	1.499	1.468	1.182	0.843	1.797	1.545	1.279	1.281	1.581	1.516	PGPRs3
C	1.537	0.274	-0.21	0.567	1.322	0.486	-0.113	0.753	1.483	0.966	-0.078	0.5	PGPRs3
D	1.035	1.729	0.796	1.498	0.896	1.953	0.859	1.529	0.953	1.897	0.881	1.151	PGPRs3
E	-0.122	1.614	1.328	0.447	0.219	1.803	1.561	0.876	0.624	1.763	1.188	0.157	PGPRs3
F	0.139	0.511	1.366	0.927	0.263	1.043	1.492	1.215	0.556	1.206	1.49	0.206	PGPRs3
G	1.497	0.915	0.089	0.336	1.736	1.063	0.316	0.443	1.653	1.344	-0.063	0.073	PGPRs3
H	0.084	0.307	0.841	0.997	-0.045	0.364	0.831	1.117	0.013	0.41	0.985	0.249	PGPRs3
A	-0.229	1.134	1.242	0.859	0.099	1.218	1.205	0.938	0.129	1.178	1.218	0.81	PGPRs4
B	0.655	0.581	1.45	1.269	1.074	1.048	1.496	1.277	1.09	0.922	1.403	1.274	PGPRs4
C	1.267	0.477	-0.236	0.672	1.175	0.507	0.136	0.976	1.378	0.714	-0.244	0.298	PGPRs4
D	0.704	1.456	0.787	1.227	0.57	1.654	0.679	1.322	0.911	1.567	0.748	0.972	PGPRs4
E	-0.257	1.237	1.201	0.467	0.306	1.454	1.335	0.777	0.609	1.446	0.374	0.046	PGPRs4
F	-0.074	0.468	1.12	0.931	0.36	0.833	1.356	1.293	0.793	0.753	1.167	0.099	PGPRs4
G	1.111	0.663	-0.153	0.15	1.432	0.966	0.146	0.35	1.312	0.8	-0.399	-0.301	PGPRs4
H	-0.382	0.068	0.42	0.911	-0.22	0.517	1.025	0.973	0.114	0.461	0.858	0.188	PGPRs4
