#OTU ID	BC_1	BC_2	BC_3	BS_1	BS_2	BS_3	BT_1	BT_2	BT_3
ASV1	0	0	0	0	0	0	0	0	0
ASV2	1508	1431	1392	1278	1320	1358	1581	1040	1410
ASV3	0	0	0	0	0	0	0	0	0
ASV4	262	112	643	377	321	153	189	393	511
ASV5	52	117	0	0	56	89	38	60	468
ASV6	683	394	1430	1782	1486	599	466	704	826
ASV7	682	645	388	556	717	757	556	617	564
ASV8	0	0	0	0	0	0	0	0	0
ASV9	0	0	156	0	0	0	0	0	0
ASV10	0	0	0	0	0	0	0	0	0
ASV11	0	0	0	0	0	0	0	0	0
ASV12	0	0	0	0	0	0	0	0	0
ASV13	289	254	186	169	164	239	288	146	226
ASV14	0	0	0	0	0	0	0	0	0
ASV15	0	0	0	0	0	0	0	0	0
ASV16	424	475	374	91	95	63	543	266	395
ASV17	0	0	0	0	0	0	0	0	0
ASV18	649	540	513	801	1081	361	574	755	564
ASV19	104	126	100	196	133	107	105	100	94
ASV20	0	0	0	0	0	0	0	0	0
ASV21	0	0	0	0	0	0	0	0	0
ASV22	0	0	0	0	0	0	0	0	0
ASV23	30	77	0	0	154	203	14	40	80
ASV24	0	0	0	0	0	0	0	0	0
ASV25	600	661	178	171	784	772	602	614	587
ASV27	520	611	361	213	760	515	571	613	452
ASV28	0	0	0	0	0	0	0	0	0
ASV29	0	0	126	0	0	0	37	22	63
ASV30	0	0	0	18	171	0	0	0	0
ASV31	2	0	0	0	0	0	0	0	0
ASV32	184	140	0	0	138	147	133	148	132
ASV33	38	0	0	31	131	75	0	12	17
ASV34	307	339	188	180	375	393	357	394	276
ASV35	396	348	330	221	108	468	601	127	281
ASV36	292	413	236	182	376	473	362	329	265
ASV37	0	0	0	0	0	0	0	0	0
ASV38	302	382	427	410	460	349	308	342	294
ASV39	326	283	133	144	462	318	324	333	380
ASV40	0	0	0	0	0	0	0	0	0
ASV41	0	0	901	118	0	0	0	119	0
ASV42	417	184	97	100	167	225	818	188	96
ASV43	0	0	0	0	0	0	0	0	0
ASV44	0	0	0	0	0	0	0	19	0
ASV45	265	272	197	402	236	324	315	364	296
ASV46	0	0	0	0	0	0	0	0	0
ASV47	313	262	159	140	292	346	341	238	234
ASV48	0	0	0	0	0	0	0	0	0
ASV49	0	0	0	0	0	0	0	0	0
ASV50	0	0	0	0	0	0	0	0	0
ASV51	0	0	0	0	0	0	0	0	0
ASV52	334	412	267	176	571	364	371	358	346
ASV53	0	0	0	0	0	5	0	0	0
ASV54	0	0	0	0	0	0	0	0	0
ASV55	0	21	30	0	21	12	54	95	16
ASV56	0	0	0	0	0	0	0	0	0
ASV57	0	0	0	0	0	0	0	0	0
ASV58	180	390	369	537	433	346	239	386	321
ASV59	0	0	0	0	0	0	0	0	0
ASV60	18	0	12	0	18	32	303	575	579
ASV62	264	227	198	149	311	304	356	245	247
ASV63	342	377	335	242	322	383	354	298	266
ASV64	219	280	233	415	427	387	245	491	300
ASV65	0	0	0	0	0	0	0	0	0
ASV66	341	404	355	224	339	362	356	280	320
ASV67	0	0	0	0	0	0	0	0	0
ASV69	0	0	0	0	0	0	0	0	0
ASV70	253	327	345	423	369	309	224	337	240
ASV71	349	353	139	177	442	424	368	287	275
ASV72	0	0	0	0	0	0	0	0	0
ASV73	0	0	0	0	0	0	0	0	0
ASV74	0	0	53	96	42	21	0	61	65
ASV76	0	0	0	0	0	0	0	0	0
ASV77	300	233	363	429	251	248	245	287	211
ASV78	273	306	396	324	260	321	301	276	279
ASV79	310	371	232	286	318	314	343	317	234
ASV81	0	0	0	0	0	0	0	0	0
ASV82	0	0	0	0	0	0	0	0	0
ASV83	0	0	0	0	0	0	0	0	0
ASV84	0	0	0	0	0	0	0	0	0
ASV85	183	167	220	205	106	139	196	170	184
ASV86	93	53	105	23	0	42	127	27	40
ASV87	0	0	0	0	0	0	0	0	0
ASV88	288	291	189	145	322	241	244	228	262
ASV89	101	70	15	25	42	124	70	118	61
ASV90	0	0	0	0	0	0	0	0	0
ASV91	0	0	0	0	0	0	0	0	0
ASV92	0	0	0	0	0	0	0	0	0
ASV93	4	3	4	11	2	5	4	4	11
ASV94	50	23	78	48	108	50	32	66	56
ASV95	0	0	0	0	0	0	0	0	0
ASV96	165	164	100	108	130	203	168	132	134
ASV97	0	0	0	0	0	0	0	0	0
ASV98	123	0	135	235	776	339	81	496	227
ASV99	133	227	44	0	398	215	143	375	357
ASV100	0	0	0	0	0	0	0	0	0
ASV101	124	126	93	70	68	92	136	84	97
ASV102	187	509	205	119	93	75	316	110	220
ASV103	259	309	324	222	323	199	283	287	171
ASV104	0	0	0	0	0	0	0	0	0
ASV105	97	88	66	61	83	89	123	75	101
ASV106	0	0	0	0	0	0	0	0	0
ASV107	252	361	127	201	263	309	308	206	300
ASV108	0	0	0	0	0	0	0	0	0
ASV109	164	181	0	26	0	49	118	77	167
ASV111	0	0	0	0	0	0	0	0	0
ASV112	116	95	176	133	172	98	121	133	147
ASV113	102	87	122	212	101	70	100	116	101
ASV114	0	0	0	0	0	0	0	0	0
ASV115	0	0	0	0	0	0	0	0	0
ASV116	0	0	0	0	0	0	0	0	0
ASV117	235	376	256	161	200	320	273	213	189
ASV118	0	0	0	0	0	0	0	0	0
ASV119	24	0	7	0	20	0	0	0	0
ASV120	0	0	0	0	0	0	0	0	0
ASV122	0	16	76	0	21	76	36	54	268
ASV123	0	0	0	0	0	0	0	0	0
ASV124	0	0	0	0	0	0	0	0	0
ASV125	68	33	57	48	126	81	46	56	59
ASV126	67	51	67	57	77	65	45	54	57
ASV127	31	0	0	0	0	0	361	124	549
ASV128	124	153	156	124	131	116	150	144	135
ASV130	271	240	234	215	174	249	254	199	192
ASV131	8	0	0	0	0	0	0	0	0
ASV132	223	252	173	156	238	272	293	216	189
ASV133	0	0	0	0	0	0	0	0	0
ASV135	46	54	40	100	49	53	65	39	66
ASV136	107	91	86	101	171	118	96	195	143
