row	col	delta
ASV35	ASV29	0.496712628
ASV805	ASV29	0.920981932
ASV1182	ASV29	0.94652218
ASV1331	ASV29	0.737328862
ASV1404	ASV29	0.610706873
ASV1436	ASV29	0.624722024
ASV1510	ASV29	0.868531548
ASV1519	ASV29	0.71018782
ASV1622	ASV29	0.866712511
ASV1652	ASV29	0.647902315
ASV2112	ASV29	0.779300779
ASV2173	ASV29	0.864795554
ASV2309	ASV29	0.513793062
ASV2379	ASV29	0.895646787
ASV2381	ASV29	0.776580907
ASV2389	ASV29	0.659890985
ASV2467	ASV29	0.662096334
ASV2503	ASV29	0.888397654
ASV2568	ASV29	0.480181794
ASV2602	ASV29	0.470860832
ASV2751	ASV29	0.830811768
ASV756	ASV35	-0.233347343
ASV805	ASV35	-0.212808927
ASV1072	ASV35	0.171799937
ASV1243	ASV35	-0.611651389
ASV1250	ASV35	-0.599838685
ASV1333	ASV35	0.190173185
ASV1455	ASV35	0.181373694
ASV1548	ASV35	-0.594749447
ASV1605	ASV35	-0.614246244
ASV1622	ASV35	-0.2371845
ASV1923	ASV35	-0.589021592
ASV1951	ASV35	0.18170566
ASV2183	ASV35	-0.602371383
ASV2204	ASV35	-0.482262489
ASV2268	ASV35	0.182275959
ASV2331	ASV35	-0.475013139
ASV2379	ASV35	-0.207920063
ASV2503	ASV35	-0.216288184
ASV2549	ASV35	-0.627634886
ASV2569	ASV35	-0.598932562
ASV2618	ASV35	-0.593586755
ASV2696	ASV35	0.1802953
ASV1331	ASV127	0.666186846
ASV1346	ASV127	0.700793291
ASV1404	ASV127	0.786416483
ASV1436	ASV127	0.695116385
ASV1510	ASV127	0.512432402
ASV1519	ASV127	0.577874073
ASV1645	ASV127	0.759021086
ASV1652	ASV127	0.605313753
ASV2112	ASV127	0.803354246
ASV2173	ASV127	0.484699718
ASV2262	ASV127	0.819049801
ASV2309	ASV127	0.732616385
ASV2381	ASV127	0.660491062
ASV2389	ASV127	0.710117927
ASV2467	ASV127	0.683259602
ASV2568	ASV127	0.833658052
ASV2602	ASV127	0.846631536
ASV2656	ASV127	0.825269572
ASV2751	ASV127	0.569234975
ASV1250	ASV756	0.574211589
ASV1333	ASV756	0.346371449
ASV1346	ASV756	0.819087203
ASV1374	ASV756	0.969146559
ASV1401	ASV756	0.38025499
ASV1484	ASV756	0.43908385
ASV1516	ASV756	0.444126129
ASV1645	ASV756	0.645598768
ASV1681	ASV756	0.405630169
ASV1923	ASV756	0.4992132
ASV2183	ASV756	0.518674619
ASV2204	ASV756	0.534504288
ASV2262	ASV756	0.627343318
ASV2309	ASV756	0.267695524
ASV2331	ASV756	0.515309475
ASV2467	ASV756	0.335644413
ASV2517	ASV756	0.431383772
ASV2569	ASV756	0.448348655
ASV2618	ASV756	0.553493791
ASV2830	ASV756	0.969593497
ASV849	ASV805	0.732758315
ASV871	ASV805	1.002429573
